Review,words,Prediction
"La primera noche nos encontramos en la habitación con un nido (5) de cucarachas muertas y la alfombra muy sucia...que por cierto nunca limpiaron hasta que reclamamos.  La cena de fin de año fue un bufete que acabó en un tremendo desorden por el excesivo número de mesas vendidas, no se podía caminar para ir a servirte la comida, para luego encontrarte con bandejas vacías,  mi esposa y yo y otra pareja ""NO CENAMOS"" porque nos encontramos con puras bandejas vacías!!...pagamos $2800 pesos por por pareja por nada!!!  El servicio del restaurante pesimo, pesimo,pesimo....se tardaron muchísimo tiempo en atendernos, nos trajeron el desayuno en partes, nunca nos dieron el café que pedimos desde que llegamos....un pésimo servicio  El frigobar vacío y después de reclamar lo surtieron pero_x0085_","L a   p r i m e r a   n o c h e   n o s   e n c o n t r a m o s   e n   l a   h a b i t a c i ó n   c o n   u n   n i d o   ( 5 )   d e   c u c a r a c h a s   m u e r t a s   y   l a   a l f o m b r a   m u y   s u c i a . . . q u e   p o r   c i e r t o   n u n c a   l i m p i a r o n   h a s t a   q u e   r e c l a m a m o s .     L a   c e n a   d e   f i n   d e   a ñ o   f u e   u n   b u f e t e   q u e   a c a b ó   e n   u n   t r e m e n d o   d e s o r d e n   p o r   e l   e x c e s i v o   n ú m e r o   d e   m e s a s   v e n d i d a s ,   n o   s e   p o d í a   c a m i n a r   p a r a   i r   a   s e r v i r t e   l a   c o m i d a ,   p a r a   l u e g o   e n c o n t r a r t e   c o n   b a n d e j a s   v a c í a s ,     m i   e s p o s a   y   y o   y   o t r a   p a r e j a   "" N O   C E N A M O S ""   p o r q u e   n o s   e n c o n t r a m o s   c o n   p u r a s   b a n d e j a s   v a c í a s ! ! . . . p a g a m o s   $ 2 8 0 0   p e s o s   p o r   p o r   p a r e j a   p o r   n a d a ! ! !     E l   s e r v i c i o   d e l   r e s t a u r a n t e   p e s i m o ,   p e s i m o , p e s i m o . . . . s e   t a r d a r o n   m u c h í s i m o   t i e m p o   e n   a t e n d e r n o s ,   n o s   t r a j e r o n   e l   d e s a y u n o   e n   p a r t e s ,   n u n c a   n o s   d i e r o n   e l   c a f é   q u e   p e d i m o s   d e s d e   q u e   l l e g a m o s . . . . u n   p é s i m o   s e r v i c i o     E l   f r i g o b a r   v a c í o   y   d e s p u é s   d e   r e c l a m a r   l o   s u r t i e r o n   p e r o _ x 0 0 8 5 _",5
"A una calle de catedral con platillos tradicionales, tipo Gourmet, de buen sabor y calidad.
Si bien ofrecen una carta con los platillos más representativos de cada temporada como mole de caderas, poblano, chinicuiles, chiles en nogada, escamoles y cemitas; son principalmente para degustación, no...Más","A   u n a   c a l l e   d e   c a t e d r a l   c o n   p l a t i l l o s   t r a d i c i o n a l e s ,   t i p o   G o u r m e t ,   d e   b u e n   s a b o r   y   c a l i d a d .  
 S i   b i e n   o f r e c e n   u n a   c a r t a   c o n   l o s   p l a t i l l o s   m á s   r e p r e s e n t a t i v o s   d e   c a d a   t e m p o r a d a   c o m o   m o l e   d e   c a d e r a s ,   p o b l a n o ,   c h i n i c u i l e s ,   c h i l e s   e n   n o g a d a ,   e s c a m o l e s   y   c e m i t a s ;   s o n   p r i n c i p a l m e n t e   p a r a   d e g u s t a c i ó n ,   n o . . . M á s",5
"Porciones muy miserables
Agua con sabor a cloro 
Muy distraídos los meseros 
No llena las expectativas
Hay mejores opciones","P o r c i o n e s   m u y   m i s e r a b l e s  
 A g u a   c o n   s a b o r   a   c l o r o    
 M u y   d i s t r a í d o s   l o s   m e s e r o s    
 N o   l l e n a   l a s   e x p e c t a t i v a s  
 H a y   m e j o r e s   o p c i o n e s",5
"Cartagena encanta. De todas las ciudades coloniales que hemos visitado es la más linda y mejor conservada. Recomiendo recorrerla tanto de día como de noche ya que son visiones distintas que vale la pena vivir. Llena de vida, tiendas, restaurantes, colorida, vibrante, calles y rincones que en cada momento guardan una sorpresa. Mi calificación habría sido excelente sino fuera por algunos detalles que deberían mejorar. Lamentablemente falta preocupación por la limpieza de las calles (problema que se repite en el resto de la ciudad) y un mejoramiento en los alcantarillados de las aguas servidas. Además por la estrechez de las calles deberían habilitar vías exclusivas para peatones.","C a r t a g e n a   e n c a n t a .   D e   t o d a s   l a s   c i u d a d e s   c o l o n i a l e s   q u e   h e m o s   v i s i t a d o   e s   l a   m á s   l i n d a   y   m e j o r   c o n s e r v a d a .   R e c o m i e n d o   r e c o r r e r l a   t a n t o   d e   d í a   c o m o   d e   n o c h e   y a   q u e   s o n   v i s i o n e s   d i s t i n t a s   q u e   v a l e   l a   p e n a   v i v i r .   L l e n a   d e   v i d a ,   t i e n d a s ,   r e s t a u r a n t e s ,   c o l o r i d a ,   v i b r a n t e ,   c a l l e s   y   r i n c o n e s   q u e   e n   c a d a   m o m e n t o   g u a r d a n   u n a   s o r p r e s a .   M i   c a l i f i c a c i ó n   h a b r í a   s i d o   e x c e l e n t e   s i n o   f u e r a   p o r   a l g u n o s   d e t a l l e s   q u e   d e b e r í a n   m e j o r a r .   L a m e n t a b l e m e n t e   f a l t a   p r e o c u p a c i ó n   p o r   l a   l i m p i e z a   d e   l a s   c a l l e s   ( p r o b l e m a   q u e   s e   r e p i t e   e n   e l   r e s t o   d e   l a   c i u d a d )   y   u n   m e j o r a m i e n t o   e n   l o s   a l c a n t a r i l l a d o s   d e   l a s   a g u a s   s e r v i d a s .   A d e m á s   p o r   l a   e s t r e c h e z   d e   l a s   c a l l e s   d e b e r í a n   h a b i l i t a r   v í a s   e x c l u s i v a s   p a r a   p e a t o n e s .",5
"Ibamos con mucha ilusion de disfrutar el espectaculo de luz y sonido pero la verdad nos decepcionó,te ubican en una esquina a la entrada de las ruinas,y no al centro por lo que no puedes apreciar casi nada,las personas se paran a tomar fotografias debido a que no se alcanza a ver nada si estas sentado,al inicio y al final del espectaculo no dejan prendidas las luces para que puedas tomar fotografias, al contrario queda todo en obscuridad y las personas de la tercera edad tiene problemas para salir pues no iluminan ni el camino para salida, deberian poner aunque sea unas antorchas para iluminar,la verdad no lo recomiendo es una pena que una maravilla como lo es chichen itza tenga un espectaculo tan carente .","I b a m o s   c o n   m u c h a   i l u s i o n   d e   d i s f r u t a r   e l   e s p e c t a c u l o   d e   l u z   y   s o n i d o   p e r o   l a   v e r d a d   n o s   d e c e p c i o n ó , t e   u b i c a n   e n   u n a   e s q u i n a   a   l a   e n t r a d a   d e   l a s   r u i n a s , y   n o   a l   c e n t r o   p o r   l o   q u e   n o   p u e d e s   a p r e c i a r   c a s i   n a d a , l a s   p e r s o n a s   s e   p a r a n   a   t o m a r   f o t o g r a f i a s   d e b i d o   a   q u e   n o   s e   a l c a n z a   a   v e r   n a d a   s i   e s t a s   s e n t a d o , a l   i n i c i o   y   a l   f i n a l   d e l   e s p e c t a c u l o   n o   d e j a n   p r e n d i d a s   l a s   l u c e s   p a r a   q u e   p u e d a s   t o m a r   f o t o g r a f i a s ,   a l   c o n t r a r i o   q u e d a   t o d o   e n   o b s c u r i d a d   y   l a s   p e r s o n a s   d e   l a   t e r c e r a   e d a d   t i e n e   p r o b l e m a s   p a r a   s a l i r   p u e s   n o   i l u m i n a n   n i   e l   c a m i n o   p a r a   s a l i d a ,   d e b e r i a n   p o n e r   a u n q u e   s e a   u n a s   a n t o r c h a s   p a r a   i l u m i n a r , l a   v e r d a d   n o   l o   r e c o m i e n d o   e s   u n a   p e n a   q u e   u n a   m a r a v i l l a   c o m o   l o   e s   c h i c h e n   i t z a   t e n g a   u n   e s p e c t a c u l o   t a n   c a r e n t e   .",5
"el sábado 12 de 11 del 2016.
desde que llegas el personal tiene el peor trato, no saben ingles. y al parecer tampoco español, 5 veces me preguntaron si mi reservacion era alli, como si despues de la 3 o 4 vez que me preguntaron mi respuesta seria diferente. por mas que les comprobe con boucher, intinerario y pago, no sabian en donde estaba mi reservacion, y decian que era hasta dentro de un mes, obvio fue error de ellos, pero nunca lo admitieron. Llegue a las 12 pm y no me encontraron habitacion hasta la 1pm, prometieron tenerla antes y no fue hasta despues de las 3 pm debido a la ocupacion que tenian, el hotel y los precios son de lujo pero el trato es de lo peor. tuve que hablar con 3 recepcionistas y nadie podia hacer nada. el gerente nunca llego, el supervisor nunca aparecio. y simplemente volteaban para otro lado cada ves que les poreguntaba por mi habitacion. practicamente 4 horas perdidas de mi dia, que no se pudo recuperar. en los restaurantes los meseros, sobretodo la mañana volteaban para otro lado al momento de pedir servcio, por mas desocupado que estaba el lugar no ofrecian ni una mesa, pero si ven a un estado unidense pasar hasta alfombra roja le tendian, no entiendo por que en este pasi en esta zona en especial hay tan mal trato a sus propios paisanos.
totalmente desagradable mi experiencia en este hotel. nada recomendable si eres de mexico.
Y NO HAY PLAYA COMO LO DICE EN INTERNET. TE TIENEN QUE TRASLADAR A EL OTRO HOTEL PARA ESO.....","e l   s á b a d o   1 2   d e   1 1   d e l   2 0 1 6 .  
 d e s d e   q u e   l l e g a s   e l   p e r s o n a l   t i e n e   e l   p e o r   t r a t o ,   n o   s a b e n   i n g l e s .   y   a l   p a r e c e r   t a m p o c o   e s p a ñ o l ,   5   v e c e s   m e   p r e g u n t a r o n   s i   m i   r e s e r v a c i o n   e r a   a l l i ,   c o m o   s i   d e s p u e s   d e   l a   3   o   4   v e z   q u e   m e   p r e g u n t a r o n   m i   r e s p u e s t a   s e r i a   d i f e r e n t e .   p o r   m a s   q u e   l e s   c o m p r o b e   c o n   b o u c h e r ,   i n t i n e r a r i o   y   p a g o ,   n o   s a b i a n   e n   d o n d e   e s t a b a   m i   r e s e r v a c i o n ,   y   d e c i a n   q u e   e r a   h a s t a   d e n t r o   d e   u n   m e s ,   o b v i o   f u e   e r r o r   d e   e l l o s ,   p e r o   n u n c a   l o   a d m i t i e r o n .   L l e g u e   a   l a s   1 2   p m   y   n o   m e   e n c o n t r a r o n   h a b i t a c i o n   h a s t a   l a   1 p m ,   p r o m e t i e r o n   t e n e r l a   a n t e s   y   n o   f u e   h a s t a   d e s p u e s   d e   l a s   3   p m   d e b i d o   a   l a   o c u p a c i o n   q u e   t e n i a n ,   e l   h o t e l   y   l o s   p r e c i o s   s o n   d e   l u j o   p e r o   e l   t r a t o   e s   d e   l o   p e o r .   t u v e   q u e   h a b l a r   c o n   3   r e c e p c i o n i s t a s   y   n a d i e   p o d i a   h a c e r   n a d a .   e l   g e r e n t e   n u n c a   l l e g o ,   e l   s u p e r v i s o r   n u n c a   a p a r e c i o .   y   s i m p l e m e n t e   v o l t e a b a n   p a r a   o t r o   l a d o   c a d a   v e s   q u e   l e s   p o r e g u n t a b a   p o r   m i   h a b i t a c i o n .   p r a c t i c a m e n t e   4   h o r a s   p e r d i d a s   d e   m i   d i a ,   q u e   n o   s e   p u d o   r e c u p e r a r .   e n   l o s   r e s t a u r a n t e s   l o s   m e s e r o s ,   s o b r e t o d o   l a   m a ñ a n a   v o l t e a b a n   p a r a   o t r o   l a d o   a l   m o m e n t o   d e   p e d i r   s e r v c i o ,   p o r   m a s   d e s o c u p a d o   q u e   e s t a b a   e l   l u g a r   n o   o f r e c i a n   n i   u n a   m e s a ,   p e r o   s i   v e n   a   u n   e s t a d o   u n i d e n s e   p a s a r   h a s t a   a l f o m b r a   r o j a   l e   t e n d i a n ,   n o   e n t i e n d o   p o r   q u e   e n   e s t e   p a s i   e n   e s t a   z o n a   e n   e s p e c i a l   h a y   t a n   m a l   t r a t o   a   s u s   p r o p i o s   p a i s a n o s .  
 t o t a l m e n t e   d e s a g r a d a b l e   m i   e x p e r i e n c i a   e n   e s t e   h o t e l .   n a d a   r e c o m e n d a b l e   s i   e r e s   d e   m e x i c o .  
 Y   N O   H A Y   P L A Y A   C O M O   L O   D I C E   E N   I N T E R N E T .   T E   T I E N E N   Q U E   T R A S L A D A R   A   E L   O T R O   H O T E L   P A R A   E S O . . . . .",5
"Excelente hotel, Muchas atracciones a su alrededor, habitaciones muy comodas y limpias, En el lobby del hotel siempre hay Cafe o algun tipo de jugo para los huespedes, el personal es de lo mejor, todos muy amables, cuando regrese a merida siempre sera mi casa. todo el personal, desde la chica que limpia hasta el manager del hotel siempre estan dispuestos a ayudar a los huespedes. Mil gracias por todas las atenciones. Siempre recomendare este hotel  John Velez","E x c e l e n t e   h o t e l ,   M u c h a s   a t r a c c i o n e s   a   s u   a l r e d e d o r ,   h a b i t a c i o n e s   m u y   c o m o d a s   y   l i m p i a s ,   E n   e l   l o b b y   d e l   h o t e l   s i e m p r e   h a y   C a f e   o   a l g u n   t i p o   d e   j u g o   p a r a   l o s   h u e s p e d e s ,   e l   p e r s o n a l   e s   d e   l o   m e j o r ,   t o d o s   m u y   a m a b l e s ,   c u a n d o   r e g r e s e   a   m e r i d a   s i e m p r e   s e r a   m i   c a s a .   t o d o   e l   p e r s o n a l ,   d e s d e   l a   c h i c a   q u e   l i m p i a   h a s t a   e l   m a n a g e r   d e l   h o t e l   s i e m p r e   e s t a n   d i s p u e s t o s   a   a y u d a r   a   l o s   h u e s p e d e s .   M i l   g r a c i a s   p o r   t o d a s   l a s   a t e n c i o n e s .   S i e m p r e   r e c o m e n d a r e   e s t e   h o t e l     J o h n   V e l e z",5
"Ayer fui con unas amigas a cenar, vivimos aquí en Vallarta, como no somos turistas nos trataron muy mal (aunque vestíamos mejor que ellos), desde la chica que recibe en la entrada nos trató fatal, aunque la comida estaba bien, no nos hicieron el show de flambeado en las fajitas en nuestra presencia como se lo hicieron a todos los turistas que estaban a nuestro alrededor, además al preguntarle al mesero nos dicen que si se hizo, nos vieron cara de tontas y nos dicen mentira, pues ninguna de nosotras lo vió hacer, es más el plato no estaba tan caliente como debía estarlo si se hubiese hecho en el momento, la verdad no provocaba dejar propina, sin embargo lo hicimos, mi pregunta es, será que piensan que no podemos pagar? , lo que yo si se, es que no vuelvo, quería ir con mi esposo pero ya se me quitaron las ganas.","A y e r   f u i   c o n   u n a s   a m i g a s   a   c e n a r ,   v i v i m o s   a q u í   e n   V a l l a r t a ,   c o m o   n o   s o m o s   t u r i s t a s   n o s   t r a t a r o n   m u y   m a l   ( a u n q u e   v e s t í a m o s   m e j o r   q u e   e l l o s ) ,   d e s d e   l a   c h i c a   q u e   r e c i b e   e n   l a   e n t r a d a   n o s   t r a t ó   f a t a l ,   a u n q u e   l a   c o m i d a   e s t a b a   b i e n ,   n o   n o s   h i c i e r o n   e l   s h o w   d e   f l a m b e a d o   e n   l a s   f a j i t a s   e n   n u e s t r a   p r e s e n c i a   c o m o   s e   l o   h i c i e r o n   a   t o d o s   l o s   t u r i s t a s   q u e   e s t a b a n   a   n u e s t r o   a l r e d e d o r ,   a d e m á s   a l   p r e g u n t a r l e   a l   m e s e r o   n o s   d i c e n   q u e   s i   s e   h i z o ,   n o s   v i e r o n   c a r a   d e   t o n t a s   y   n o s   d i c e n   m e n t i r a ,   p u e s   n i n g u n a   d e   n o s o t r a s   l o   v i ó   h a c e r ,   e s   m á s   e l   p l a t o   n o   e s t a b a   t a n   c a l i e n t e   c o m o   d e b í a   e s t a r l o   s i   s e   h u b i e s e   h e c h o   e n   e l   m o m e n t o ,   l a   v e r d a d   n o   p r o v o c a b a   d e j a r   p r o p i n a ,   s i n   e m b a r g o   l o   h i c i m o s ,   m i   p r e g u n t a   e s ,   s e r á   q u e   p i e n s a n   q u e   n o   p o d e m o s   p a g a r ?   ,   l o   q u e   y o   s i   s e ,   e s   q u e   n o   v u e l v o ,   q u e r í a   i r   c o n   m i   e s p o s o   p e r o   y a   s e   m e   q u i t a r o n   l a s   g a n a s .",5
"El personal de recepción es grosero y desinteresado. Pero las camareras, camareros y todo el personal era fabuloso. El hotel es precioso, pero las instalaciones y accesorios se caen a pedazos como es la Habana. Necesidades de un millón de dólares para poner justo. Mi limpieza Carlos era genial y me dejaron toallas modelos cada día. me hubiera gustado ver fotos de. Los coches clásicos, ver en fotos son un mito. Son realmente cubos de óxido. Cuba es el lugar más caro que he visitado. Ten cuidado. Todo cuesta!!!.  Incluso lindas fotos si trad vestidas con gente en la calle a tomar fotos.estoy casi 60 y nunca volver de nuevo en mi vida porque le llevará 10 años y miles de millones de dólares para restaurar esta ciudad beautifil","E l   p e r s o n a l   d e   r e c e p c i ó n   e s   g r o s e r o   y   d e s i n t e r e s a d o .   P e r o   l a s   c a m a r e r a s ,   c a m a r e r o s   y   t o d o   e l   p e r s o n a l   e r a   f a b u l o s o .   E l   h o t e l   e s   p r e c i o s o ,   p e r o   l a s   i n s t a l a c i o n e s   y   a c c e s o r i o s   s e   c a e n   a   p e d a z o s   c o m o   e s   l a   H a b a n a .   N e c e s i d a d e s   d e   u n   m i l l ó n   d e   d ó l a r e s   p a r a   p o n e r   j u s t o .   M i   l i m p i e z a   C a r l o s   e r a   g e n i a l   y   m e   d e j a r o n   t o a l l a s   m o d e l o s   c a d a   d í a .   m e   h u b i e r a   g u s t a d o   v e r   f o t o s   d e .   L o s   c o c h e s   c l á s i c o s ,   v e r   e n   f o t o s   s o n   u n   m i t o .   S o n   r e a l m e n t e   c u b o s   d e   ó x i d o .   C u b a   e s   e l   l u g a r   m á s   c a r o   q u e   h e   v i s i t a d o .   T e n   c u i d a d o .   T o d o   c u e s t a ! ! ! .     I n c l u s o   l i n d a s   f o t o s   s i   t r a d   v e s t i d a s   c o n   g e n t e   e n   l a   c a l l e   a   t o m a r   f o t o s . e s t o y   c a s i   6 0   y   n u n c a   v o l v e r   d e   n u e v o   e n   m i   v i d a   p o r q u e   l e   l l e v a r á   1 0   a ñ o s   y   m i l e s   d e   m i l l o n e s   d e   d ó l a r e s   p a r a   r e s t a u r a r   e s t a   c i u d a d   b e a u t i f i l",5
"bueno, barato, no es de lujo, perfecta ubicación para la vieja Habana y vistas increíbles. No esperes lujo, pero es un buen lugar para dormir, un buen desayuno y una impresionante vista del Malecón. estarás bien en un lugar que es como la Habana: no es nuevo, no son perfectas pero agradable. Me alojaría aquí de nuevo.","b u e n o ,   b a r a t o ,   n o   e s   d e   l u j o ,   p e r f e c t a   u b i c a c i ó n   p a r a   l a   v i e j a   H a b a n a   y   v i s t a s   i n c r e í b l e s .   N o   e s p e r e s   l u j o ,   p e r o   e s   u n   b u e n   l u g a r   p a r a   d o r m i r ,   u n   b u e n   d e s a y u n o   y   u n a   i m p r e s i o n a n t e   v i s t a   d e l   M a l e c ó n .   e s t a r á s   b i e n   e n   u n   l u g a r   q u e   e s   c o m o   l a   H a b a n a :   n o   e s   n u e v o ,   n o   s o n   p e r f e c t a s   p e r o   a g r a d a b l e .   M e   a l o j a r í a   a q u í   d e   n u e v o .",5
